"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code","Prem Street","City","County","Zip Code","Mailing Street","Mailing City","Mailing Zip Code","Mailing State"
"385372","Active","02 | 0","06/30/2024","DBA: GORDON BIERSCH BREWING COMPANY                            GORDON BIERSCH BREWING COMPANY                             357 E TAYLOR ST,                             SAN JOSE, CA  95112-3105","357 E TAYLOR ST                              SAN JOSE, CA  95112-3105","ORI","","","25","4313","357 E TAYLOR ST","SAN JOSE","43","95112","357 E TAYLOR ST","SAN JOSE","95112","CA"
"638975","Active","47 | 0","11/30/2024","DBA: RED ROOSTER BAKERY CAFE                             B.A.M., LLC                             5135 W ADAMS BLVD,                             LOS ANGELES, CA  90016-2771","2215 WELLESLY AVE                               LOS ANGELES, CA  90064","PER/PRM","7","ABC ESCROW 2222 DAMON STREET  LOS ANGELES, CA  90021","4","1933","5135 W ADAMS BLVD","LOS ANGELES","19","90016","2215 WELLESLY AVE","LOS ANGELES","90064","CA"
"644502","Active","21 | 0","09/30/2024","DBA: STAR MARKET & LIQUOR                            STAR MARKET AND LIQUOR INC                             4400 3RD ST,                             SAN FRANCISCO, CA  94124-2104","","FID","7","","24","3800","4400 3RD ST","SAN FRANCISCO","38","94124","","","",""
"646099","Active","41 | 0","11/30/2024","DBA: BANDOLEROS CAFE                            BANDOLEROS CAFE                             15059 GOLDENWEST ST,                             HUNTINGTON BEACH, CA  92647-2710","","ORI","","","11","3010","15059 GOLDENWEST ST","HUNTINGTON BEACH","30","92647","","","",""
"646925","Issued-Temp.","30","04/11/2024","DBA: PELICANA CHICKEN IRVINE                            POKETERIA, INC.                             4970 IRVINE BLVD, STE 110,                             IRVINE, CA  92620-1975","","ORI","","","11","3026","4970 IRVINE BLVD, STE 110","IRVINE","30","92620","","","",""
"647140","Rule 64B","47 | 0","11/30/2024","DBA: STAR LEAF                            BOWEN & BERLIN CORP                             641 E COLORADO BLVD,                             PASADENA, CA  91101-2005","","PER/PRM","","ABC ESCROW 2222 DAMON ST  LOS ANGELES, CA  90021","2","1943","641 E COLORADO BLVD","PASADENA","19","91101","","","",""
"648397","Active","41 | 0","11/30/2024","DBA: MAIN STREET PIZZA & TAP                            KEYSTONE RESTAURANT COMPANY LLC                             3399 MAIN ST , STE F,                             MAMMOTH LAKES, CA  93546","PO BOX 8511                              MAMMOTH LAKES, CA  93546-8511","ORI","","","6","2601","3399 MAIN ST , STE F","MAMMOTH LAKES","26","93546","PO BOX 8511","MAMMOTH LAKES","93546","CA"
"648830","Active","23 | 0","11/30/2024","DBA: ASYLUM BREWING                            ASYLUM BREWING COMPANY                             180 W ELM ST, UNIT A & C,                             ANAHEIM, CA  92805-3809","180 W ELM ST, UNIT C                               ANAHEIM, CA  92805-3809","PRM","","","11","3001","180 W ELM ST, UNIT A & C","ANAHEIM","30","92805","180 W ELM ST, UNIT C","ANAHEIM","92805","CA"
"649158","Issued-Temp.","30","04/11/2024","DBA: MOUNTAIN MIKE'S PIZZA                            DTF BUSINESS INC                             4141 MANZANITA AVE, STE 220,                             CARMICHAEL, CA  95608-1700","5417 SANDGRASS DR                               ROCKLIN, CA  95677","PER","7","CAPITAL CITY ESCROW INC 3838 WATT AVE  STE F-610 SACRAMENTO, CA  95821-2697","23","3400","4141 MANZANITA AVE, STE 220","CARMICHAEL","34","95608","5417 SANDGRASS DR","ROCKLIN","95677","CA"
"649166","Active","70 | 0","11/30/2024","DBA: HOME 2 SUITES SAN BERNARDINO                            GREENS INV 13, LLC                             837 E BRIER DR,                             SAN BERNARDINO, CA  92408-2837","8815 RESEARCH DR                              IRVINE, CA  92618-4296","ORI","7","","7","3610","837 E BRIER DR","SAN BERNARDINO","36","92408","8815 RESEARCH DR","IRVINE","92618","CA"
"650030","Issued-Temp.","30","04/11/2024","DBA: DINUBA QUICK SHOP                            DINUBA QUICK SHOP INC                             180 E EL MONTE WAY,                             DINUBA, CA  93618-1580","2400 WASHINGTON AVE, STE 410                              REDDING, CA  96001-2827","PER","","LENNAR TITLE 7555 N PALM AVE STE 210 FRESNO, CA  93711","21","5401","180 E EL MONTE WAY","DINUBA","54","93618","2400 WASHINGTON AVE, STE 410","REDDING","96001","CA"
"650510","Active","41 | 0","11/30/2024","DBA: CEDAR LOUNGE                            ALL AMERICAN TOBACCO VENTURES INC                             1201 THIRD AVE,                             CHULA VISTA, CA  91911-3202","","ORI","7","","10","3702","1201 THIRD AVE","CHULA VISTA","37","91911","","","",""
"651356","Active","21 | 0","06/30/2024","DBA: 7 ELEVEN #32787                            7 ELEVEN INC                             2437 MAIN ST,                             OAKLEY, CA  94561-1864","","PER","5","","22","0719","2437 MAIN ST","OAKLEY","07","94561","","","",""
"651462","Active","47 | 3","11/30/2024","DBA: UCLA LAKE ARROWHEAD LODGE                            HAMMER F&B LLC                             850 WILLOW CREEK RD,                             LAKE ARROWHEAD, CA  92352","10899 WILSHIRE BLVD                              LOS ANGELES, CA  90024-4343","ORI","A","","7","3600","850 WILLOW CREEK RD","LAKE ARROWHEAD","36","92352","10899 WILSHIRE BLVD","LOS ANGELES","90024","CA"
