"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code","Prem Street","City","County","Zip Code","Mailing Street","Mailing City","Mailing Zip Code","Mailing State"
"634592","Issued-Temp.","30","04/10/2024","DBA: THE RUSE                            891 GROVE STREET LLC                              891 GROVE ST ,                             HEALDSBURG, CA  95448-4762","","EXC/PER/PRM","","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","27","4902","891 GROVE ST","HEALDSBURG","49","95448","","","",""
"634592","Issued-Temp.","30","04/10/2024","DBA: THE RUSE                            891 GROVE STREET LLC                              891 GROVE ST ,                             HEALDSBURG, CA  95448-4762","","EXC/PER/PRM","7","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","27","4902","891 GROVE ST","HEALDSBURG","49","95448","","","",""
"636663","Active","47 | 2","11/30/2024","DBA: WEDGEWOOD WEDDING AND EVENTS                            WEDGEWOOD BEVERAGE INC                             1855 & 1859 ABBY LN,                             ESCONDIDO, CA  92026","43385 BUSINESS PARK DR                              TEMECULA, CA  92590-3688","PER/PRM","7","","9","3705","1855 & 1859 ABBY LN","ESCONDIDO","37","92026","43385 BUSINESS PARK DR","TEMECULA","92590","CA"
"636663","Active","47 | 2","11/30/2024","DBA: WEDGEWOOD WEDDING AND EVENTS                            WEDGEWOOD BEVERAGE INC                             1855 & 1859 ABBY LN,                             ESCONDIDO, CA  92026","43385 BUSINESS PARK DR                              TEMECULA, CA  92590-3688","PER/PRM","7","","9","3705","1855 & 1859 ABBY LN","ESCONDIDO","37","92026","43385 BUSINESS PARK DR","TEMECULA","92590","CA"
"636663","Active","68 | 2","11/30/2024","DBA: WEDGEWOOD WEDDING AND EVENTS                            WEDGEWOOD BEVERAGE INC                             1855 & 1859 ABBY LN,                             ESCONDIDO, CA  92026","43385 BUSINESS PARK DR                              TEMECULA, CA  92590-3688","PER/PRM","7","","9","3705","1855 & 1859 ABBY LN","ESCONDIDO","37","92026","43385 BUSINESS PARK DR","TEMECULA","92590","CA"
"636663","Active","58 | 2","11/30/2024","DBA: WEDGEWOOD WEDDING AND EVENTS                            WEDGEWOOD BEVERAGE INC                             1855 & 1859 ABBY LN,                             ESCONDIDO, CA  92026","43385 BUSINESS PARK DR                              TEMECULA, CA  92590-3688","PER/PRM","7","","9","3705","1855 & 1859 ABBY LN","ESCONDIDO","37","92026","43385 BUSINESS PARK DR","TEMECULA","92590","CA"
"637180","Issued-Temp.","30","04/10/2024","DBA: HOOK & PLOW, THE                            KELLEHER RESTAURANT GROUP LLC                             1112A MANHATTAN AVE ,                             MANHATTAN BEACH, CA  90266-5313","540 24TH PL                               HERMOSA BEACH, CA  90254-2607","ORI","7","","3","1935","1112A MANHATTAN AVE","MANHATTAN BEACH","19","90266","540 24TH PL","HERMOSA BEACH","90254","CA"
"642870","Active","47 | 0","11/30/2024","EL REY TACO GRILL INC                             33950 ANGELS LN, STE C,                             WILDOMAR, CA  92595-8736","16687 ARROW BLVD, STE 100                              FONTANA, CA  92335-3412","ORI","5","","7","3326","33950 ANGELS LN, STE C","WILDOMAR","33","92595","16687 ARROW BLVD, STE 100","FONTANA","92335","CA"
"643576","Active","20 | 0","11/30/2024","DBA: FOOTHILL GAS                            EKAM OIL INC                              8166 FOOTHILL BLVD,                             RANCHO CUCAMONGA, CA  91730-3103","3940 E CALLOWAY DR                              ONTARIO, CA  91761-2636","PER/PRM","","INLAND EMPIRE ESCROW INC 12794 CENTRAL AVE CHINO, CA  91710","7","3615","8166 FOOTHILL BLVD","RANCHO CUCAMONGA","36","91730","3940 E CALLOWAY DR","ONTARIO","91761","CA"
"644202","Active","41 | 0","11/30/2024","DBA: SUPERNATURAL SEAFOOD                            SUPERNATURAL SEAFOOD, INC                             7094 MIRAMAR RD, STE 122,                             SAN DIEGO, CA  92121-2311","","PER","7","HERITAGE ESCROW COMPANY THE 2550 FIFTH AVE  STE 800  SAN DIEGO, CA  92103","9","3710","7094 MIRAMAR RD, STE 122","SAN DIEGO","37","92121","","","",""
"646929","Active","41 | 0","11/30/2024","DBA: N17 THE LANE                            MEZCLA GROUP LLC                              12821 WASHINGTON BLVD UNIT 103,                             CULVER CITY, CA  90066-5541","4664 BEETHOVEN ST                               LOS ANGELES, CA  90066","ORI","7","","4","1914","12821 WASHINGTON BLVD UNIT 103","CULVER CITY","19","90066","4664 BEETHOVEN ST","LOS ANGELES","90066","CA"
"647865","Active","41 | 0","11/30/2024","GOKIGENFAMILY, INC.                             4410 SEPULVEDA BLVD,                             CULVER CITY, CA  90230-4801","","ORI","7","","4","1914","4410 SEPULVEDA BLVD","CULVER CITY","19","90230","","","",""
"648242","Active","20 | 0","11/30/2024","DBA: LA MARKETA                            OROZCOANGUIANO, GONZALO                             2087 N MAIN ST,                             SALINAS, CA  93906","","PER","","INNOVATIVE ESCROW 28212 KELLY JOHNSON PKWY STE 110 VALENCIA, CA  91355","26","2708","2087 N MAIN ST","SALINAS","27","93906","","","",""
"648911","Active","47 | 1","11/30/2024","DBA: HOTEL PARADOX                            PYRAMID SANTA CRUZ MANAGEMENT L.P.                             611 OCEAN ST,                             SANTA CRUZ, CA  95060-4005","30 ROWES WHARF, STE 5300                              BOSTON, MA  02110","PER","7","","26","4402","611 OCEAN ST","SANTA CRUZ","44","95060","30 ROWES WHARF, STE 5300","BOSTON","02110","MA"
"648911","Active","77 | 1","11/30/2024","DBA: HOTEL PARADOX                            PYRAMID SANTA CRUZ MANAGEMENT L.P.                             611 OCEAN ST,                             SANTA CRUZ, CA  95060-4005","30 ROWES WHARF, STE 5300                              BOSTON, MA  02110","PER","7","","26","4402","611 OCEAN ST","SANTA CRUZ","44","95060","30 ROWES WHARF, STE 5300","BOSTON","02110","MA"
"649459","Active","41 | 0","11/30/2024","DBA: CALIFORNIA FISH GRILL                            CALIFORNIA FISH GRILL INVESTMENTS, LLC                             5502 BALBOA AVE,                             SAN DIEGO, CA  92111-2704","4041 MACARTHUR BLVD, STE 250                              NEWPORT BEACH, CA  92660","ORI","7","","10","3710","5502 BALBOA AVE","SAN DIEGO","37","92111","4041 MACARTHUR BLVD, STE 250","NEWPORT BEACH","92660","CA"
"650071","Active","47 | 0","11/30/2024","DBA: KABUKI JAPANESE RESTAURANT                            KBK91 LLC                             2675 E COLORADO BLVD,                             PASADENA, CA  91107-3725","","PER/PRM","","GENESIS CONSULTING INC 3435 WILSHIRE BLVD  STE 1030 LOS ANGELES, CA  90010","2","1943","2675 E COLORADO BLVD","PASADENA","19","91107","","","",""
"650224","Active","02 | 0","06/30/2024","DBA: ROCCA FAMILY VINEYARDS                            ROCCA FAMILY VINEYARDS INC                             129 DEVLIN RD,                             NAPA, CA  94558-6255","","ORI","7","","27","2800","129 DEVLIN RD","NAPA","28","94558","","","",""
"650254","Active","47 | 0","11/30/2024","DBA: KIMPTON HOTEL ENSO                            1800 SUTTER CONCESSIONS LLC                             1800 SUTTER ST,                             SAN FRANCISCO, CA  94115","101 CALIFORNIA ST, STE 980                              SAN FRANCISCO, CA  94111","PER","","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","24","3800","1800 SUTTER ST","SAN FRANCISCO","38","94115","101 CALIFORNIA ST, STE 980","SAN FRANCISCO","94111","CA"
"650696","Active","41 | 0","11/30/2024","DBA: SUSHI 2 VIENTOS                            SUSHI 2 VIENTOS                             370 VIA LAS BRISAS, STE 120,                             THOUSAND OAKS, CA  91320-7051","","ORI","7","","12","5607","370 VIA LAS BRISAS, STE 120","THOUSAND OAKS","56","91320","","","",""
"650812","Active","47 | 1","11/30/2024","DBA: LUCKY STRIKE HOLLYWOOD                            AMF BOWLING CENTERS INC                             6801 HOLLYWOOD BLVD, STE 143,                             LOS ANGELES, CA  90028-6138","7313 BELL CREEK RD                              MECHANICSVILLE, VA  23111","PER","7","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","4","1933","6801 HOLLYWOOD BLVD, STE 143","LOS ANGELES","19","90028","7313 BELL CREEK RD","MECHANICSVILLE","23111","VA"
"650812","Active","47 | 1","11/30/2024","DBA: LUCKY STRIKE HOLLYWOOD                            AMF BOWLING CENTERS INC                             6801 HOLLYWOOD BLVD, STE 143,                             LOS ANGELES, CA  90028-6138","7313 BELL CREEK RD                              MECHANICSVILLE, VA  23111","PER","7","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","4","1933","6801 HOLLYWOOD BLVD, STE 143","LOS ANGELES","19","90028","7313 BELL CREEK RD","MECHANICSVILLE","23111","VA"
"650812","Active","58 | 1","11/30/2024","DBA: LUCKY STRIKE HOLLYWOOD                            AMF BOWLING CENTERS INC                             6801 HOLLYWOOD BLVD, STE 143,                             LOS ANGELES, CA  90028-6138","7313 BELL CREEK RD                              MECHANICSVILLE, VA  23111","PER","7","CALIFORNIA BUSINESS ESCROW INC 1748 MAIN ST ESCALON, CA  95320-1927","4","1933","6801 HOLLYWOOD BLVD, STE 143","LOS ANGELES","19","90028","7313 BELL CREEK RD","MECHANICSVILLE","23111","VA"
